Youtuber,Comments,Date
MrBeast Gaming,"I love how when most youtubers get in a controversy,they just make a short apology video and when Mr Beast gets in the tiniest controversy that wouldnt at all harm him,he pays the man 10 grand lmao",2021-05-05T15:40:28Z
MrBeast Gaming,There should definitely be more videos where he pulls someone loosing to judge with them! It seems like a great thing and I would love to see more of that,2022-04-26T19:21:41Z
MrBeast Gaming,mad respect for the guy that said<br> “D E S T R O Y  T H E  T I M E R”,2021-07-28T04:38:01Z
MrBeast Gaming,"As a person who’s family owns a dairy farm and works with DFA, I very much appreciate the sponsor message",2022-07-15T02:39:50Z
MrBeast Gaming,When he said “I need to tell me dad” I was really happy he won 🤣😅✨,2021-07-31T22:34:41Z
MrBeast Gaming,Not going to lie but Chandler and Karl’s farm was really good I would give their farm a 10/10,2022-04-19T17:38:46Z
MrBeast Gaming,"I would love to hear what he told his dad:<br>“Dad I won 50,000 dollars!”",2020-11-18T00:50:43Z
MrBeast Gaming,Mrbeast talking about the goodness of dairy and all the health benefits meanwhile somebody building a McDonald’s sign behind him lol,2021-06-12T15:05:17Z
MrBeast Gaming,"<a href=""https://www.youtube.com/watch?v=j8Cli3mEpJY&amp;t=5m50s"">5:50</a>-<a href=""https://www.youtube.com/watch?v=j8Cli3mEpJY&amp;t=6m08s"">6:08</a> bro this guy almost cried and no one is talking about him. One of the most wholesome moments on this channel ever, seriously almost made me tear",2021-09-08T23:36:33Z
MrBeast Gaming,it was adorable how proud he was and immediately went to his dad,2022-08-21T14:34:11Z
MrBeast Gaming,"As a son of a  dairy farmer, this puts a smile on my face.",2021-07-23T22:35:32Z
MrBeast Gaming,i think the build plots look nice but the builds from everyone make them better,2022-03-24T20:18:28Z
MrBeast Gaming,Imagine your 17 year old coming downstairs and telling you they just won 50K by building a minecraft farm... my mom can&#39;t relate,2020-11-18T23:42:14Z
MrBeast Gaming,Parents: &quot;Gaming can&#39;t earn you you money.&quot;<br>Mr. Beast/Jimmy: <b>&quot;I think differently.&quot;</b>,2021-08-02T19:10:32Z
MrBeast Gaming,when the kid called his dad to tell about his winning.... made my heart warm...thats awesome for his family sure,2021-05-08T13:40:38Z
MrBeast Gaming,you know you&#39;ve come far when an entire <b>food  variation</b> sponsors you,2023-05-01T19:07:18Z
MrBeast Gaming,"Crusty sounded so happy when they won, You can tell that these videos aren&#39;t scripted or planned",2022-01-02T20:29:56Z
MrBeast Gaming,"&quot;Karl it&#39;s a FARM TOOL&quot;. i DIED man. and from Chandler no less, the guy who&#39;s always so laid back",2022-09-03T04:15:59Z
MrBeast Gaming,I wish they made a video specifically for parents reactions to their kids winning thousands of dollars. Who wouldn’t watch that??,2020-11-19T05:38:55Z
MrBeast Gaming,"happy that chris actually liked karl and chandlers build, i wouldn&#39;t have done better.",2021-09-28T16:02:58Z
MrBeast Gaming,when crusty shouted<br>&quot;I need to tell my dad ×2 Dad!&quot; that was so wholesome I wish his dad came on the mic,2021-11-29T09:35:15Z
MrBeast Gaming,"Imagine just winning $50,000 dollars as a teen just because you built a farm in minecraft on a MrBeast building battle full of cows and milk",2022-12-07T08:51:34Z
MrBeast Gaming,you have progressed so much that you came in this platform. Congrats bro,2021-08-06T08:18:36Z
MrBeast Gaming,I would give Karl and Chandler a 10 out of 10!,2022-05-28T17:39:52Z
MrBeast Gaming,I am so happy that Jimmy was able to help that person who wanted money for their collage degree,2020-11-18T07:58:27Z
MrBeast Gaming,This dude was the most surprised and happiest of all people I’ve seen win money on this channel and it’s really shocking because I’d be screaming happy!,2021-12-21T00:27:33Z
MrBeast Gaming,"I really liked Karl and Chandlers build. If I was rating, I would give it a 9",2021-12-08T23:31:39Z
