Youtuber,Comments,Date
MrBeast Gaming,Subscribe and you might be able to compete one day :D,2020-05-20T21:44:48Z
MrBeast Gaming,Skeppy: $1000 Minecraft challenges<br>Mr. Beast: Those are some rookie numbers,2020-05-20T23:12:40Z
MrBeast Gaming,"&quot;We need your parents permission before we send the money&quot;<br><br>Son: I won 10k, can i get it?<br>Parents: No",2020-09-04T04:05:50Z
MrBeast Gaming,Imagine winning $10k and Mr beast asking for your parents permission and they don&#39;t give permission 🤣,2021-04-01T15:29:04Z
MrBeast Gaming,This was probs the closest Karl ever got to winning. Respect,2022-03-27T16:56:24Z
MrBeast Gaming,I’m so glad pure videos like this still exist on YouTube. There’s so much negative energy on the platform nowadays and things like this really improve it :3,2020-07-28T02:41:53Z
MrBeast Gaming,Great videos! Keep up the great work!,2022-02-04T22:06:35Z
MrBeast Gaming,“Winning 10K is not supposed to be easy.”<br><br><b>Words of wisdom</b>,2020-05-28T13:35:31Z
MrBeast Gaming,"little did jertsu know, he was going to become one of the legends on this channel",2021-09-11T05:23:55Z
MrBeast Gaming,"I can tell Jimmy was laughing so hard that he was giving 10k to a 14 year old (in a good way), and their reaction",2021-04-14T00:47:28Z
MrBeast Gaming,I heard the accent of the dad and the player and instantly knew they&#39;re Finnish. Better tell my brother to get in these too to win another 10K to Finland😂,2022-04-02T15:17:33Z
MrBeast Gaming,Karl: At 14 he&#39;s made more money in challenges than I have.,2020-12-03T17:36:09Z
MrBeast Gaming,Jimmy: “Winning 10 grand isn’t suppose to be easy” <br>Also Jimmy: “here have a free car for nothing”,2021-09-26T04:56:58Z
MrBeast Gaming,skeppy fans: he is the Minecraft MrBeast<br><br>Mr Beast: let me introduce myself,2020-05-21T09:59:05Z
MrBeast Gaming,I would love to watch the conversations these kids have with their parents after winning 10 grand,2020-08-07T20:30:17Z
MrBeast Gaming,Jimmy: winning 10k isn&#39;t supposed to be easy<br>Also Jimmy: has an entire channel of doing nice things like helping out shelters and food banks which includes giving out money,2021-02-25T12:44:05Z
MrBeast Gaming,I love the way MrBeast and all his friends entertain us ican watch his single video multiple times,2022-01-31T02:30:58Z
MrBeast Gaming,Chris : Karl never wins<br>Also Chris : dumping a lava bucket and spawning a creeper on him,2021-06-25T11:15:11Z
MrBeast Gaming,The fact that karl himself jumped in the lava is hilarious,2022-11-20T10:36:55Z
MrBeast Gaming,MrBeast: <b>uploads four times a week</b><br><br><b>Everyone loved that.</b>,2020-05-21T02:04:13Z
MrBeast Gaming,"I like how Chris takes the time to point out/appreciate the fact that there was a player with a My Hero Academia skin, that part always gets me",2020-11-28T09:06:04Z
