,youtuber,channel_id,sex,sub_count,num_views,num_vids,
0,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,M,36400000,6376172328,141,
1,Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,M,35200000,20307840565,5489,
2,jacksepticeye,UCYzPXprvl5Y-Sf0g4vX-m6g,M,30100000,16260045289,5115,
3,Techno Gamerz,UCX8pnu3DYUnx8qy8V_c6oHg,M,34500000,9748446428,944,
4,Dream,UCTkXRDQl0luXxVQrRQvWS6w,M,31800000,2934067160,116,
5,DanTDM,UCS5Oz6CHmeoF7vSad0qqXfw,M,27500000,19425465205,3664,
6,Ninja,UCAW-NpUFkMyCNrvRSSGIvDQ,M,23700000,2545610164,1730,
7,theRadBrad,UCpqXJOEqGS-TCnazcHCo0rA,M,13300000,6054755161,8193,
8,GameGrumps,UC9CuvdOVfMPvKCiwdGKL3cQ,M,5380000,6631006697,8549,
9,CoryxKenshin,UCiYcA0gJzg855iSKMrX3oHg,M,16800000,7135791815,1693,
10,Technoblade,UCFAiFyGs6oDiF1Nf-rRJpZA,M,16400000,1661674442,989,
11,Tommyinnit,UC5p_l5ZeB_wGjO_yDXwiqvw,M,14300000,2090650306,341,
12,GeorgeNotFound,UCA2tt9GSU2sl8rAqjlLR3mQ,M,10400000,616975422,49,
13,iHasCupquake,UCqg2eLFNUu3QN3dttNeOWkw,F,6970000,2982885034,4889,
14,CookieSwirlC,UCelMeixAOTs2OQAAi9wU8-g,F,20100000,23409096548,3772,
15,MegMage,UCNwXk1mst3ddgRd9tj-pHtg,F,57400,17470807,1365,
16,alliebeemac,UCnN6vOxvHf-vLjH7heYRkRw,F,34400,7074192,677,
17,JazzyGuns,UCoIkReksSL5mBLRKmLRZ1fg,F,577000,126387454,1056,
18,LDShadowLady,UCzTlXb7ivVzuFlugVCv3Kvg,F,7070000,3321227561,1057,
19,Gamergirl,UCije75lmV_7fVP7m4dJ7ZoQ,F,6030000,3364582878,1708,
20,stacyplays,UC2c6FqF4olAZ7LodVEUueNQ,F,2310000,1116900608,2037,
21,Niki Nihachu,UC_bjOaM7jR8lmPoAmaRPPnQ,F,1370000,34066729,46,
22,Dexbonus,UCwwByLVM8DlwWQjA0zqeLYA,F,237000,55389089,2799,
23,GamingWithJen,UC_ItCy-BTDCULPpDPlieUKA,F,5100000,1287980965,547,
24,ItsFunneh,UCUk7VggtJdo9XYTy3Z5QVAw,F,10400000,12655528213,2622,
25,sqaishey quack,UCmKnJ1mLbnHNXS-fPNWO0OA,F,1020000,468684814,2463,
26,KittyKatGaming,UCzHWMl59l72-lZQDA0uW8yg,F,307000,44296857,1100,
