Youtuber,Comments
MrBeast Gaming,Subscribe or I’ll put raining arrows in your Minecraft server.
MrBeast Gaming,"Jimmy raging is possibly one of the scariest things I’ve ever witnessed, he’s such a chill guy most of the time."
MrBeast Gaming,this is like the only video where jimmy is not laughing at everyone else
MrBeast Gaming,Alternate title: Chris being an action film protagonist for 8 minutes
MrBeast Gaming,Jimmy: dying<br>Chris: winning<br>Karl: eating steak<br>Chandler: laughing and having fun
MrBeast Gaming,I like how Chandler waits at the start and let’s Jimmy die 3 times so he doesn’t have to kiss a sock
MrBeast Gaming,"<b>I wanna see MrBeast do an actual survival playthrough with Chris, Chandler and Karl, that would be sooo good.</b>"
MrBeast Gaming,Watching Jimmy rage is the funniest thing I&#39;ve ever seen &quot;Boo hoo I&#39;ve had that happen to me for 4 maps&quot;
MrBeast Gaming,Jimmy is a really sweat and funny guy… but seeing him laying a big one on a sock was so grate considering what he has done as pranks to his friends both destroying and giving away their cars costing them money but he still is an awesome generous guy and he dose it out of love you rock guys
MrBeast Gaming,"Jimmy Raging<br>Jimmy, otherwise known as MrBeast, finally sees what raining arrows looks like in Minecraft. But little does he know that he will soon be raging so hard because of it."
MrBeast Gaming,love the way how hard jimmy rages when he looses in anything
MrBeast Gaming,Chandler lost so many challenges but he never lost himself
MrBeast Gaming,Jimmy raging is one of the rarest things we will ever see in our entire lives
MrBeast Gaming,Finally Jimmy felt what losing was like.
MrBeast Gaming,I love that in every obstacle course where there are two people are great while the other two suffer and always  jimmy is part of those 😂
MrBeast Gaming,I like how Jimmy is all Confident at the start then he loses lol
MrBeast Gaming,I love how Karl doesn’t even get mad when Jimmy killed him at the last stage
MrBeast Gaming,It’s kinda rare to see jimmy lose a challenge
MrBeast Gaming,Chris: brags that he hasn’t died<br><br>Karma: hold my drink.
MrBeast Gaming,Chris: You have to keep moving. Jimmy: <b>Stops moving</b>
MrBeast Gaming,"Man of his word, much respect MrBeast"
MrBeast Gaming,jimmy raging is the most rare thing to see
MrBeast Gaming,I love how Jimmy was raging so hard.
MrBeast Gaming,The video should of been called “rare footage of MrBeast raging”.
MrBeast Gaming,"&quot;Karl&#39;s a genius&quot; - Jimmy 2020 <br><br>Karl, never forget that Jimmy once said this"
