,Youtuber,Comments,Word Count,Char Length,Polarity Scores,Emotion
0,MrBeast Gaming,subscribe i’ll put raining arrows minecraft server,7,50,"{'roberta_neg': 0.043050993, 'roberta_neu': 0.83007085, 'roberta_pos': 0.12687817}",1
1,MrBeast Gaming,jimmy raging possibly one scariest things i’ve ever witnessed he’s chill guy time,13,81,"{'roberta_neg': 0.72986925, 'roberta_neu': 0.23475225, 'roberta_pos': 0.035378538}",0
2,MrBeast Gaming,like video jimmy laughing everyone else,6,39,"{'roberta_neg': 0.048514094, 'roberta_neu': 0.67343116, 'roberta_pos': 0.2780547}",1
5,MrBeast Gaming,like chandler waits start let’s jimmy die 3 times doesn’t kiss sock,12,67,"{'roberta_neg': 0.5986172, 'roberta_neu': 0.36966094, 'roberta_pos': 0.03172184}",0
7,MrBeast Gaming,watching jimmy rage funniest thing i39ve ever seen quotboo hoo i39ve happen 4 mapsquot,14,86,"{'roberta_neg': 0.00713156, 'roberta_neu': 0.102510154, 'roberta_pos': 0.8903583}",2
10,MrBeast Gaming,love way hard jimmy rages looses anything,7,41,"{'roberta_neg': 0.16393676, 'roberta_neu': 0.47703192, 'roberta_pos': 0.35903135}",1
11,MrBeast Gaming,chandler lost many challenges never lost,6,40,"{'roberta_neg': 0.24320176, 'roberta_neu': 0.6042546, 'roberta_pos': 0.15254365}",1
12,MrBeast Gaming,jimmy raging one rarest things ever see entire lives,9,52,"{'roberta_neg': 0.043138474, 'roberta_neu': 0.59934556, 'roberta_pos': 0.35751596}",1
13,MrBeast Gaming,finally jimmy felt losing like,5,30,"{'roberta_neg': 0.38070378, 'roberta_neu': 0.5694508, 'roberta_pos': 0.049845375}",1
14,MrBeast Gaming,love every obstacle course two people great two suffer always jimmy part 😂,13,74,"{'roberta_neg': 0.0146438265, 'roberta_neu': 0.085410394, 'roberta_pos': 0.8999458}",2
15,MrBeast Gaming,like jimmy confident start loses lol,6,36,"{'roberta_neg': 0.17550212, 'roberta_neu': 0.7156812, 'roberta_pos': 0.10881669}",1
